类别,precision,recall,f1-score,support,accuracy
哈密瓜,0.825,0.8918918918918919,0.8571428571428571,37.0,0.8918918918918919
圣女果,0.7209302325581395,0.8157894736842105,0.7654320987654321,38.0,0.8157894736842105
山竹,0.9411764705882353,0.9142857142857143,0.927536231884058,35.0,0.9142857142857143
杨梅,0.8888888888888888,0.8648648648648649,0.8767123287671232,37.0,0.8648648648648649
柚子,0.7045454545454546,0.8378378378378378,0.7654320987654321,37.0,0.8378378378378378
柠檬,0.8148148148148148,0.7586206896551724,0.7857142857142857,29.0,0.7586206896551724
桂圆,0.9444444444444444,0.8947368421052632,0.918918918918919,38.0,0.8947368421052632
梨,0.875,0.7567567567567568,0.8115942028985508,37.0,0.7567567567567568
椰子,0.8536585365853658,0.9210526315789473,0.8860759493670886,38.0,0.9210526315789473
榴莲,0.9354838709677419,0.8055555555555556,0.8656716417910447,36.0,0.8055555555555556
火龙果,1.0,0.9166666666666666,0.9565217391304348,36.0,0.9166666666666666
猕猴桃,0.9411764705882353,0.8648648648648649,0.9014084507042254,37.0,0.8648648648648649
石榴,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0,0.8648648648648649
砂糖橘,0.8378378378378378,0.8857142857142857,0.8611111111111112,35.0,0.8857142857142857
胡萝卜,0.9696969696969697,0.8888888888888888,0.927536231884058,36.0,0.8888888888888888
脐橙,0.7894736842105263,0.8108108108108109,0.8,37.0,0.8108108108108109
芒果,0.8125,0.7878787878787878,0.8,33.0,0.7878787878787878
苦瓜,0.96875,0.8857142857142857,0.9253731343283582,35.0,0.8857142857142857
苹果-红,0.9117647058823529,0.8857142857142857,0.8985507246376812,35.0,0.8857142857142857
苹果-青,0.8372093023255814,0.972972972972973,0.9,37.0,0.972972972972973
草莓,0.9459459459459459,0.9210526315789473,0.9333333333333333,38.0,0.9210526315789473
荔枝,0.7291666666666666,0.9210526315789473,0.813953488372093,38.0,0.9210526315789473
菠萝,0.9411764705882353,0.8648648648648649,0.9014084507042254,37.0,0.8648648648648649
葡萄-白,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0,0.9354838709677419
葡萄-红,0.8918918918918919,0.868421052631579,0.88,38.0,0.868421052631579
西瓜,0.8095238095238095,0.918918918918919,0.8607594936708861,37.0,0.918918918918919
西红柿,0.8695652173913043,0.5555555555555556,0.6779661016949152,36.0,0.5555555555555556
车厘子,0.8055555555555556,0.90625,0.8529411764705882,32.0,0.90625
香蕉,0.9444444444444444,0.9444444444444444,0.9444444444444444,36.0,0.9444444444444444
黄瓜,0.8947368421052632,0.9714285714285714,0.9315068493150684,35.0,0.9714285714285714
macro avg,0.8745296686526413,0.8677651838092167,0.8680909960270741,1078.0,0.8677651838092167
weighted avg,0.874202181271707,0.8682745825602969,0.8681475741340052,1078.0,0.8682745825602967
