图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,哈密瓜-预测置信度,圣女果-预测置信度,山竹-预测置信度,杨梅-预测置信度,柚子-预测置信度,柠檬-预测置信度,桂圆-预测置信度,梨-预测置信度,椰子-预测置信度,榴莲-预测置信度,火龙果-预测置信度,猕猴桃-预测置信度,石榴-预测置信度,砂糖橘-预测置信度,胡萝卜-预测置信度,脐橙-预测置信度,芒果-预测置信度,苦瓜-预测置信度,苹果-红-预测置信度,苹果-青-预测置信度,草莓-预测置信度,荔枝-预测置信度,菠萝-预测置信度,葡萄-白-预测置信度,葡萄-红-预测置信度,西瓜-预测置信度,西红柿-预测置信度,车厘子-预测置信度,香蕉-预测置信度,黄瓜-预测置信度
..\..\data\fruit30_split\val\哈密瓜\106.jpg,0,哈密瓜,4,柚子,0,哈密瓜,5,柠檬,True,0.023467984,2.6520058e-05,2.592328e-06,1.455642e-06,0.96780515,0.005154676,4.0817145e-07,0.0010151253,0.000364157,1.2405281e-05,7.223808e-08,0.0010652478,6.418384e-05,3.6381156e-05,2.639784e-06,0.00046528663,8.244551e-05,8.20325e-07,2.3855526e-05,0.00021440817,3.521001e-07,2.3089494e-06,2.254164e-06,1.5042169e-06,5.554669e-07,0.00013355633,1.1679475e-05,3.9260376e-06,3.7907197e-05,1.8140366e-07
..\..\data\fruit30_split\val\哈密瓜\109.jpg,0,哈密瓜,0,哈密瓜,6,桂圆,8,椰子,True,0.7288786,1.6811409e-06,1.4247325e-05,2.0454013e-06,0.010878763,0.00041068057,0.14038604,0.0016108715,0.11124535,8.902511e-06,2.50525e-07,0.00048344245,3.2165073e-05,0.00026842896,7.163811e-05,1.891143e-05,0.002461067,7.899348e-07,0.0005752226,1.8479153e-06,2.91054e-07,1.3115365e-05,7.0390905e-07,0.0014048791,2.5694319e-05,0.00018166432,2.7659857e-07,1.7792878e-05,0.0010005179,4.129508e-06
..\..\data\fruit30_split\val\哈密瓜\114.jpg,0,哈密瓜,0,哈密瓜,26,西红柿,2,山竹,True,0.90622133,0.0047145444,0.014580457,0.0036343643,0.0068949503,0.001366254,0.001051021,0.0012215625,0.007308704,0.00016473896,2.092648e-05,0.0005935166,1.08260965e-05,0.00015320037,0.00012954528,0.0009446902,0.0012728876,0.00073419925,0.0020473804,0.0021386486,0.004027732,0.008896847,0.00033528765,0.005858226,0.0019321974,0.00041067533,0.019276153,0.00024098536,0.0036702661,0.00014774811
..\..\data\fruit30_split\val\哈密瓜\116.jpg,0,哈密瓜,0,哈密瓜,16,芒果,9,榴莲,True,0.9112893,6.284457e-05,1.33306685e-05,9.4394954e-07,0.013159817,3.883016e-05,7.745167e-06,0.00019541135,0.00029431115,0.023935983,3.8448347e-06,0.002372054,3.5109477e-07,3.1361478e-06,0.0006713155,7.748458e-05,0.033581845,0.003834088,9.142039e-06,7.603928e-06,1.9135297e-05,0.0003439658,1.4993935e-05,0.00012387977,1.9475951e-07,0.00013048199,5.474818e-05,2.5504667e-07,0.009668104,8.4941974e-05
..\..\data\fruit30_split\val\哈密瓜\118.png,0,哈密瓜,4,柚子,11,猕猴桃,0,哈密瓜,True,0.01908352,0.0004770333,8.653565e-05,0.000117117015,0.6618229,0.012001929,0.00029445995,0.0066811596,0.005959542,0.0003479648,2.1886965e-05,0.2516472,0.00041336406,0.00065981125,0.0039495905,0.0073676025,0.0037997172,0.0022823145,1.1640764e-05,0.0011114943,0.0019592957,6.960726e-05,4.3011045e-05,0.01677096,3.2436452e-05,0.0008338203,0.00061958056,1.0788814e-07,0.0013070244,0.00022736086
..\..\data\fruit30_split\val\哈密瓜\123.jpg,0,哈密瓜,0,哈密瓜,11,猕猴桃,16,芒果,True,0.99978715,6.1482467e-07,2.8951058e-07,2.3399145e-06,4.629752e-05,6.947021e-08,1.8442761e-06,7.038124e-07,1.9870825e-07,7.364774e-08,1.3502896e-10,8.279558e-05,6.5330688e-09,1.2347986e-07,1.847717e-07,7.8727425e-08,6.417967e-05,2.3108008e-07,3.8219227e-07,1.4379312e-08,5.9030622e-08,3.0772458e-07,3.0877165e-09,1.688264e-07,1.4868415e-07,1.091494e-05,8.24847e-08,1.9032534e-08,8.6491673e-07,1.2063298e-08
..\..\data\fruit30_split\val\哈密瓜\127.jpg,0,哈密瓜,0,哈密瓜,4,柚子,8,椰子,True,0.96880853,0.00016544313,1.4939423e-05,0.000114281844,0.015028787,0.00016942709,0.0006236784,0.0006251772,0.0052680713,4.329764e-05,4.154005e-07,0.0028677168,1.9652414e-05,0.0011921743,2.8708869e-06,0.0002583026,0.0006257836,3.838161e-05,6.714901e-05,5.000636e-06,2.7183409e-05,0.0028834003,3.1839205e-05,1.5447422e-07,3.5490807e-06,4.449191e-05,4.714814e-05,0.0010061787,1.7005621e-05,8.100276e-08
..\..\data\fruit30_split\val\哈密瓜\129.jpg,0,哈密瓜,0,哈密瓜,8,椰子,5,柠檬,True,0.9906701,4.0146531e-07,4.51909e-05,1.7279015e-05,0.00035417758,0.0023777338,3.7615864e-05,6.267143e-07,0.0052563385,3.1777015e-06,1.3120264e-08,7.685027e-06,4.9680504e-09,0.00020582124,3.3260687e-07,1.0848194e-05,0.00011787261,2.0643574e-06,1.566239e-05,3.7502065e-07,2.3039809e-06,1.3703591e-06,2.6403044e-05,6.453769e-05,9.180741e-09,0.00013692892,7.2838717e-09,7.695757e-08,1.9381185e-05,0.0006255903
..\..\data\fruit30_split\val\哈密瓜\131.jpg,0,哈密瓜,0,哈密瓜,16,芒果,4,柚子,True,0.86312056,6.9531615e-07,1.6074335e-07,7.3080423e-07,0.0022328843,0.00026504212,1.3135128e-05,0.0011268056,0.0001471388,0.0004993615,1.3205295e-06,1.0759019e-05,1.1161471e-08,1.3663517e-05,6.0267354e-05,0.00023433154,0.1320287,3.354281e-07,6.3058775e-05,4.8221557e-07,1.7577499e-05,7.1520094e-06,8.296776e-06,3.824345e-06,2.214501e-08,8.540823e-05,1.8934415e-07,6.1796335e-08,4.1685667e-05,1.640559e-05
..\..\data\fruit30_split\val\哈密瓜\133.jpg,0,哈密瓜,0,哈密瓜,8,椰子,4,柚子,True,0.9502305,6.2083667e-09,4.0442774e-06,7.298495e-08,0.014702691,0.00015232182,0.00024692554,0.00029061275,0.0338774,2.6302928e-07,2.1248332e-09,0.00014098485,1.1030104e-07,2.8969998e-05,2.3956166e-09,7.1011134e-05,0.0002224638,5.2905865e-08,2.5807127e-05,6.1638667e-07,4.245723e-09,4.658545e-06,5.8556613e-09,1.3668864e-08,1.6600291e-08,6.566357e-08,3.046879e-08,2.5939577e-09,2.7700472e-07,3.3407424e-08
