class,testset,trainset,total
人参果,36.0,146.0,182.0
佛手瓜,32.0,129.0,161.0
哈密瓜,39.0,157.0,196.0
圣女果,39.0,158.0,197.0
山楂,39.0,159.0,198.0
山竹,38.0,152.0,190.0
无花果,39.0,156.0,195.0
木瓜,38.0,156.0,194.0
李子,38.0,154.0,192.0
杏,39.0,158.0,197.0
杨桃,39.0,157.0,196.0
杨梅,38.0,153.0,191.0
枇杷,37.0,151.0,188.0
枣,38.0,156.0,194.0
柚子,39.0,156.0,195.0
柠檬,30.0,122.0,152.0
柿子,38.0,154.0,192.0
树莓,37.0,149.0,186.0
桂圆,39.0,159.0,198.0
桑葚,39.0,156.0,195.0
梨,38.0,155.0,193.0
椰子,39.0,159.0,198.0
榴莲,39.0,159.0,198.0
樱桃,33.0,133.0,166.0
橘子,36.0,145.0,181.0
毛丹,31.0,127.0,158.0
水蜜桃,35.0,141.0,176.0
沃柑,39.0,159.0,198.0
沙果,38.0,153.0,191.0
沙棘,36.0,147.0,183.0
油桃,39.0,160.0,199.0
牛油果,30.0,120.0,150.0
猕猴桃,39.0,158.0,197.0
甘蔗,39.0,158.0,197.0
甜瓜-伊丽莎白,18.0,75.0,93.0
甜瓜-白,17.0,68.0,85.0
甜瓜-绿,8.0,35.0,43.0
甜瓜-金,10.0,42.0,52.0
番石榴-百,26.0,105.0,131.0
番石榴-红,30.0,121.0,151.0
白兰瓜,25.0,103.0,128.0
白心火龙果,37.0,148.0,185.0
白萝卜,39.0,160.0,199.0
百香果,37.0,151.0,188.0
石榴,38.0,153.0,191.0
砂糖橘,36.0,148.0,184.0
粑粑柑,38.0,154.0,192.0
红心火龙果,39.0,159.0,198.0
红苹果,35.0,142.0,177.0
羊奶果,39.0,156.0,195.0
羊角蜜,39.0,157.0,196.0
胡萝卜,37.0,149.0,186.0
脐橙,38.0,154.0,192.0
腰果,40.0,160.0,200.0
芒果,34.0,139.0,173.0
芦柑,36.0,146.0,182.0
草莓,39.0,159.0,198.0
荔枝,39.0,158.0,197.0
莲雾,39.0,156.0,195.0
菠萝,39.0,158.0,197.0
菠萝莓,22.0,91.0,113.0
菠萝蜜,39.0,160.0,199.0
葡萄-白,31.0,125.0,156.0
葡萄-红,39.0,160.0,199.0
蓝莓,39.0,158.0,197.0
蛇皮果,34.0,138.0,172.0
蟠桃,36.0,145.0,181.0
血橙,37.0,150.0,187.0
西柚,36.0,147.0,183.0
西梅,39.0,158.0,197.0
西瓜,38.0,156.0,194.0
西红柿,37.0,150.0,187.0
车厘子,33.0,136.0,169.0
酸角,38.0,153.0,191.0
金桔,36.0,145.0,181.0
青柠,29.0,119.0,148.0
青苹果,39.0,156.0,195.0
香橼,25.0,104.0,129.0
香蕉,38.0,155.0,193.0
黄桃,38.0,155.0,193.0
黑莓,37.0,150.0,187.0
